job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,category,sub_category,role
Game Designer,PT Arugame,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp5jt-Rp8jt,https://glints.com/id/opportunities/jobs/game-designer/4447838b-4b24-40ed-a55e-1b8067ef97e2?utm_referrer=explore,4447838b-4b24-40ed-a55e-1b8067ef97e2,full_time,Computer & Information Technology,Other Computer & Information Technology,Game Developer
IT Project Manager,PT Ciputra Development,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-project-manager/24dc3356-7375-4bc3-92ee-2cab73eb2416?utm_referrer=explore,24dc3356-7375-4bc3-92ee-2cab73eb2416,full_time,Computer & Information Technology,Telecommunication,Communication Project Manager
IT Quality Assurance,PT Ciputra Development,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-quality-assurance/4f16e047-ec3b-44e4-8a5f-c10eb75dc2d8?utm_referrer=explore,4f16e047-ec3b-44e4-8a5f-c10eb75dc2d8,full_time,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Staff Kelistrikan,PT. HERBAL INSANI,"Bojongsari, Depok, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-kelistrikan/5c2edcf6-a2a6-4bc4-adb9-cbd76f4d6b17?utm_referrer=explore,5c2edcf6-a2a6-4bc4-adb9-cbd76f4d6b17,full_time,Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer
Business Intelligence,PT Adinata Mitra Solusi,"Kebayoran Lama, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp8jt-Rp14jt,https://glints.com/id/opportunities/jobs/business-intelligence/084e6371-0499-4930-a2ed-983fa959d1f9?utm_referrer=explore,084e6371-0499-4930-a2ed-983fa959d1f9,full_time,Computer & Information Technology,Data,Business Intelligence Analyst
Quality Assurance (HRIS Project),Abishar Technologies,"Sukajadi, Bandung, Jawa Barat",Kerja di kantor,Rp4jt-Rp8jt,https://glints.com/id/opportunities/jobs/quality-assurance-hris-project/b73e3149-a59a-4a08-8790-47eb27c75d28?utm_referrer=explore,b73e3149-a59a-4a08-8790-47eb27c75d28,contract,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Project Manager,PT. Centrin Online Prima,"Manguharjo, Madiun, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/project-manager/c91a13ab-ffee-488a-9e12-3e3d68f5e2db?utm_referrer=explore,c91a13ab-ffee-488a-9e12-3e3d68f5e2db,full_time,Computer & Information Technology,Telecommunication,Communication Project Manager
Full Stack Engineer,Cooderu,"Pal Merah, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp10jt-Rp18jt,https://glints.com/id/opportunities/jobs/full-stack-engineer/43f86462-f4d0-4c40-aa86-c1bdd96cd6d7?utm_referrer=explore,43f86462-f4d0-4c40-aa86-c1bdd96cd6d7,full_time,Computer & Information Technology,Software,Full Stack Engineer
Bob Junior - Tech Ops Data Reporting Intern,PT Bobobox Mitra Indonesia,"Cicendo, Bandung, Jawa Barat",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/bob-junior-tech-ops-data-reporting-intern/d78ed451-f22a-4f1e-aa80-672a542697bb?utm_referrer=explore,d78ed451-f22a-4f1e-aa80-672a542697bb,internship,Computer & Information Technology,"Operation, Maintenance & Technical Support",Technical Document Engineer
Full Stack Web Developer,Rama Sakti Travel,"Kapanewon Gamping, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/full-stack-web-developer/c3c80976-0aff-402f-bc0f-00a05f501e1f?utm_referrer=explore,c3c80976-0aff-402f-bc0f-00a05f501e1f,full_time,Computer & Information Technology,Software,Full Stack Engineer
Data Analyst Manager,Workforc Indonesia,"Menteng, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/data-analyst-manager/2b62dabb-8fed-45c6-a82a-b13aa1aeacd3?utm_referrer=explore,2b62dabb-8fed-45c6-a82a-b13aa1aeacd3,full_time,Computer & Information Technology,Data,Data Analyst
Backend Developer,Alfagift - Global Loyalty Indonesia,"Kapanewon Depok, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/backend-developer/93e3246f-ac77-4121-9648-7ba7ab0f8b20?utm_referrer=explore,93e3246f-ac77-4121-9648-7ba7ab0f8b20,contract,Computer & Information Technology,Backend Development,Backend Developer
Senior Field Service Engineer,PT. Unggul Semesta,"Cikarang Pusat, Bekasi, Jawa Barat",Kerja di kantor,Rp15jt-Rp20jt,https://glints.com/id/opportunities/jobs/senior-field-service-engineer/94e990e7-d657-4a55-8f76-60843f8f23aa?utm_referrer=explore,94e990e7-d657-4a55-8f76-60843f8f23aa,contract,Computer & Information Technology,Hardware Development,Automation Engineer
IT Support,Pt. Abhitech Matra Indah,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-support/89b2a68d-23e8-4abb-a135-39cb0e556ad8?utm_referrer=explore,89b2a68d-23e8-4abb-a135-39cb0e556ad8,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
IT Assistant,PT Sumberdaya Dian Mandiri Tangerang,"Panongan, Tangerang, Banten",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/it-assistant/2697de48-4e69-4ede-ae0b-fc3f4a3ac678?utm_referrer=explore,2697de48-4e69-4ede-ae0b-fc3f4a3ac678,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Android Developer,PT Niaga Expert Teknologi,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/android-developer/79c37d56-d991-49b0-87f4-86c007d90fb0?utm_referrer=explore,79c37d56-d991-49b0-87f4-86c007d90fb0,full_time,Computer & Information Technology,Mobile Development,Android Developer
SAP PM/SM,PT TechTiera Services Indonesia,"Tanjung Priok, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/sap-pm-sm/0c598d97-6615-4c88-b33b-7a11c1beb765?utm_referrer=explore,0c598d97-6615-4c88-b33b-7a11c1beb765,contract,Computer & Information Technology,Software,Computer Programmer
SAP FICO,PT KONSULINDO INFORMATIKA PERDANA,"Tebet, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Rp7jt-Rp11jt,https://glints.com/id/opportunities/jobs/sap-fico/61c7dba5-df69-473a-a8b0-d1774492e02a?utm_referrer=explore,61c7dba5-df69-473a-a8b0-d1774492e02a,full_time,Computer & Information Technology,"Operation, Maintenance & Technical Support",IT Technical Support
Fullstack Developer,PT. Intitek Presisi Integrasi,"Pinang, Tangerang, Banten",Kerja di kantor,Rp5jt-Rp6jt,https://glints.com/id/opportunities/jobs/fullstack-developer/9c97c584-7b58-46ea-96e2-f3a352a6b943?utm_referrer=explore,9c97c584-7b58-46ea-96e2-f3a352a6b943,full_time,Computer & Information Technology,Other Computer & Information Technology,AR & VR Engineer
