job_title,company_name,job_location,work_place,salary_range,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role
Network Engineer,PT Sembrani Siber Solusindo,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/network-engineer/d6bcd7d1-70fa-4c08-869f-4b8238d9270c?utm_referrer=explore,d6bcd7d1-70fa-4c08-869f-4b8238d9270c,contract,Remote/Dari rumah,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",Network Engineer
Security Information and Event Management (SIEM) On-Site,PT Sembrani Siber Solusindo,"Kemayoran, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/security-information-and-event-management-siem-on-site/786a3fe1-8ea0-42ca-bb73-e902ece3ef14?utm_referrer=explore,786a3fe1-8ea0-42ca-bb73-e902ece3ef14,full_time,Kerja di kantor,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Cyber Security
Staff Cyber Security,PT Sembrani Siber Solusindo,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Not Written,https://glints.com/id/opportunities/jobs/staff-cyber-security/176d2852-8c32-4b1e-ba86-2df958c65243?utm_referrer=explore,176d2852-8c32-4b1e-ba86-2df958c65243,contract,Remote/Dari rumah,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,"Operation, Maintenance & Technical Support",Cyber Security
Staff IT,PT Candi Bangun Persada,"Laweyan, Surakarta, Jawa Tengah",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-it/717f331e-14f5-4971-a9bb-89219fe55482?utm_referrer=explore,717f331e-14f5-4971-a9bb-89219fe55482,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Staff Electrical Design & Programmer PLC,PT Triguna Mitra Teknik,"Cikarang Utara, Bekasi, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/staff-electrical-design-and-programmer-plc/0b4fbf22-f939-4d91-95f6-ffd7b6189bcd?utm_referrer=explore,0b4fbf22-f939-4d91-95f6-ffd7b6189bcd,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Electronic & Semiconductor,Electronics Engineer
Teknisi,PT. Ansell Jaya Indonesia,"Bandung Kulon, Bandung, Jawa Barat",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/teknisi/0ce4a101-c8b8-4ee7-bb63-a09a4058d12d?utm_referrer=explore,0ce4a101-c8b8-4ee7-bb63-a09a4058d12d,full_time,Kerja di kantor,1 – 3 tahun,Minimal SMA/SMK,Computer & Information Technology,Electronic & Semiconductor,Electrical Engineer
System Analyst,PT Solusi Identitas Global Net,"Sedati, Sidoarjo, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/system-analyst/cfd0ad85-762a-4f49-940a-2f7fca608d71?utm_referrer=explore,cfd0ad85-762a-4f49-940a-2f7fca608d71,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,"Network, System & Database Admin",System Analyst
Data Analyst Mamasuka,PT Cipta Artha Nadya,"Serpong, Tangerang Selatan, Banten",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/data-analyst-mamasuka/e2127280-094b-4c5c-b61d-0fc3f05d4915?utm_referrer=explore,e2127280-094b-4c5c-b61d-0fc3f05d4915,full_time,Kerja di kantor,1 – 3 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Data,Data Analyst
Network Administrator,PT Solusi Identitas Global Net,"Sedati, Sidoarjo, Jawa Timur",Kerja di kantor,Not Written,https://glints.com/id/opportunities/jobs/network-administrator/24433fbf-f9b7-4cfe-a3d9-4d649cd9b035?utm_referrer=explore,24433fbf-f9b7-4cfe-a3d9-4d649cd9b035,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Other Computer & Information Technology,Information Technology Staff
Sales Support Administration Staff,PT. Adiwarna Anugerah Abadi,"Cengkareng, Jakarta Barat, DKI Jakarta",Kerja di kantor,"Rp5jt-Rp5,5jt",https://glints.com/id/opportunities/jobs/sales-support-administration-staff/1d217d05-ad8c-4f5b-a698-fd5749bccab2?utm_referrer=explore,1d217d05-ad8c-4f5b-a698-fd5749bccab2,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Technical Sales Support,Technical Sales Support
Estimator,PT. Adiwarna Anugerah Abadi,"Cengkareng, Jakarta Barat, DKI Jakarta",Kerja di kantor,Rp5jt-Rp6jt,https://glints.com/id/opportunities/jobs/estimator/7989d6c2-e897-4c94-8d65-2d70aab9a9ff?utm_referrer=explore,7989d6c2-e897-4c94-8d65-2d70aab9a9ff,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Engineer
