,job_title,company_name,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,sub_category,role,scrapped_date,district,city,province
39,Network Engineer,PT Visionary Solution Teknologi (Visi-Tek),Rp5jt-Rp7jt,"Wireless Networking,Network Security,Computer Networking",https://glints.com/id/opportunities/jobs/network-engineer/ee49766f-1b16-428b-b4bd-3831c9e987ad?utm_referrer=explore,ee49766f-1b16-428b-b4bd-3831c9e987ad,full_time,remote,1-3,Sarjana,"Network, System & Database Admin",Network Engineer,4/3/2024,Cilandak, Jakarta Selatan, DKI Jakarta
40,Sysadmin DBA,PT Kimu Andalan Nusantara,-,"Information Technology,Python,Google Cloud Platform,Computer Science,JavaScript,Troubleshooting,SQL",https://glints.com/id/opportunities/jobs/sysadmin-dba/e15b36a6-348b-46a9-b3a6-79f4ad475626?utm_referrer=explore,e15b36a6-348b-46a9-b3a6-79f4ad475626,full_time,onsite,3-5,Diploma,"Network, System & Database Admin",Database Administrator,4/3/2024,Kembangan, Jakarta Barat, DKI Jakarta
41,Ruby on Rails,Dot Indonesia,-,"Spring Framework,Ruby on Rails,Bootstrap,Object-Oriented Programming (OOP),Software Development,Model-View-Controller (MVC),CSS3",https://glints.com/id/opportunities/jobs/ruby-on-rails/df3fe71a-1975-4324-a176-95174c8b5cb3?utm_referrer=explore,df3fe71a-1975-4324-a176-95174c8b5cb3,contract,remote,1-3,Sarjana,Software,ROR Developer,4/3/2024,Kebayoran Baru, Jakarta Selatan, DKI Jakarta
42,Junior IT EDC Android Developer,PCS Payment,"Rp6,5jt-Rp9,5jt","Model-View-Controller (MVC),Website Management,Application Development,REST API,Edc,Android Development,Adaptability,Mobile App Development",https://glints.com/id/opportunities/jobs/junior-it-edc-android-developer/77b9b1c1-2cd7-4282-afb8-4c6a450e3a5e?utm_referrer=explore,77b9b1c1-2cd7-4282-afb8-4c6a450e3a5e,full_time,onsite,1-3,Sarjana,Mobile Development,Android Developer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
43,Software Engineer (FRONT-END),Renn Labs,-,"Frontend Development,Computer Science,Software Engineering",https://glints.com/id/opportunities/jobs/software-engineer-front-end/3c586da1-19d8-4afe-bcc6-3f0f6a906bde?utm_referrer=explore,3c586da1-19d8-4afe-bcc6-3f0f6a906bde,full_time,remote,5-10,Sarjana,Frontend Development,Frontend Engineer,4/3/2024,Matraman, Jakarta Timur, DKI Jakarta
44,React Js Developer,Software Seni,-,"jQuery,Object-Oriented Programming (OOP),HTML5,React.js,JavaScript,CSS3",https://glints.com/id/opportunities/jobs/react-js-developer/96421a20-a19f-4e06-a342-cfe940de3380?utm_referrer=explore,96421a20-a19f-4e06-a342-cfe940de3380,full_time,onsite,3-5,Diploma,Frontend Development,ReactJS Developer,4/3/2024,Kemantren Gondokusuman, Yogyakarta, DI Yogyakarta
45,Database Engineer,Ecampuz,-,"Data Mining,Mysql Database,MySQL,Phyton,R Programming",https://glints.com/id/opportunities/jobs/database-engineer/30005283-2cde-426d-aa15-eb50a9000dce?utm_referrer=explore,30005283-2cde-426d-aa15-eb50a9000dce,full_time,onsite,1-3,Diploma,"Network, System & Database Admin",Database Administrator,4/3/2024,Mantrijeron, Yogyakarta, DI Yogyakarta
46,Mobile Developer Flutter,PT. RAKHASA ARTHA WISESA,-,"Mobile App Development,iOS Development,Mobile UI Design,Application Development,Android Development,Product Development,Software Development",https://glints.com/id/opportunities/jobs/mobile-developer-flutter/62322656-94f8-4a9b-8500-a21d62f0ecd8?utm_referrer=explore,62322656-94f8-4a9b-8500-a21d62f0ecd8,full_time,onsite,1-3,SMA/SMK,Mobile Development,Flutter Developer,4/3/2024,Tambora, Jakarta Barat, DKI Jakarta
47,Mobile Developer IOS,PT. RAKHASA ARTHA WISESA,Rp5jt-Rp15jt,"CI/CD,Design Thinking,iOS Development",https://glints.com/id/opportunities/jobs/mobile-developer-ios/69b27627-5a74-4ebe-be36-6fce8bcd8a8a?utm_referrer=explore,69b27627-5a74-4ebe-be36-6fce8bcd8a8a,full_time,onsite,1-3,Sarjana,Mobile Development,iOS Developer,4/3/2024,Tambora, Jakarta Barat, DKI Jakarta
48,Programmer,PT Bawana Margatama,-,"OOP,Java,Arsitektur Mikroservis",https://glints.com/id/opportunities/jobs/programmer/c38d4d0f-2eb2-4dca-babd-123c0d26a9fd?utm_referrer=explore,c38d4d0f-2eb2-4dca-babd-123c0d26a9fd,full_time,onsite,1-3,Diploma,Software,Programmer,4/3/2024,Setiabudi, Jakarta Selatan, DKI Jakarta
