job_title,company_name,job_location,work_place,salary_range,skill,more_detail_link,job_id,work_type,workplace,years_experience,min_education,category,sub_category,role,scrapped_date
Frontend Web Developer (Reactjs & ElectronJS),Ur (pt. Rahmat Tuhan Lestari),"Babakan Ciparay, Bandung, Jawa Barat",Kerja di kantor,Not Written,"experience,logo,React.js,Relational Databases,MySQL",https://glints.com/id/opportunities/jobs/frontend-web-developer-reactjs-and-electronjs/175c78d3-abd5-4450-88fb-d975f8a07632?utm_referrer=explore,175c78d3-abd5-4450-88fb-d975f8a07632,full_time,Kerja di kantor,Kurang dari setahun,Minimal SMA/SMK,Computer & Information Technology,Software,Programmer,2024-04-26
Backend stack dan Frontend stack,Inotal Sistema International,"Gambir, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Mercure,Php Symfony,TailwindCSS,Vite,Php Swoole,React.js,PHP",https://glints.com/id/opportunities/jobs/backend-stack-dan-frontend-stack/e23625fd-527a-4963-be6f-72b1d182d40a?utm_referrer=explore,e23625fd-527a-4963-be6f-72b1d182d40a,contract,Kerja di kantor,3 – 5 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Programmer,2024-04-26
Software Developer For UX and Frontend,PT Fleischhacker Solutions Indonesia,"Penjaringan, Jakarta Utara, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Experience In Devexpress Is A Plus.,Understanding Of Agile Methodologies,Hl7, Dicom Protocols,Ui/ux Designer,Html5, Css3, And Javascript.,English Languange,C#, Visual Basic .Net",https://glints.com/id/opportunities/jobs/software-developer-for-ux-and-frontend/2e4bdca7-fe83-4cdd-8c68-190b0c1f08c2?utm_referrer=explore,2e4bdca7-fe83-4cdd-8c68-190b0c1f08c2,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Software,Software Developer,2024-04-26
Frontend Engineer JOG (Middle - Senior Level),Meda,"Kapanewon Sleman, Sleman, DI Yogyakarta",Kerja di kantor,Rp4jt-Rp10jt,"experience,salary,logo,React.js,Dart,Mobile App Development,Nuxt.js,JavaScript",https://glints.com/id/opportunities/jobs/frontend-engineer-jog-middle-senior-level/0ada70de-2c60-4660-9ad5-86c59dfb7e3e?utm_referrer=explore,0ada70de-2c60-4660-9ad5-86c59dfb7e3e,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Senior Web Fronted Engineer,PT. Infinity Plus Solution,"Setiabudi, Jakarta Selatan, DKI Jakarta",Remote/Dari rumah,Rp13jt-Rp15jt,"experience,salary,logo,JavaScript,Node.js,jQuery,HTML5",https://glints.com/id/opportunities/jobs/senior-web-fronted-engineer/b6acb505-a888-4804-92e2-c3ae3a1ddb3e?utm_referrer=explore,b6acb505-a888-4804-92e2-c3ae3a1ddb3e,part_time,Remote/Dari rumah,5 – 10 tahun,Minimal Diploma (D1 - D4),Computer & Information Technology,Software,Senior Software Engineer,2024-04-26
Front End Developer,Evello.co.id,"Setiabudi, Jakarta Selatan, DKI Jakarta",Kerja di kantor,"Rp3,5jt-Rp5jt","experience,salary,logo,Graphic Chart,Vega,CSS3,Social Network Chart,Network Graph,React Native,JSON,HTML5,Bootstrap,JavaScript,UI Design,Node.js,D3.js, Restful Apis,TypeScript,Desain Visualisasi Data,RxJS,SQL,Vue.js,Semantic Web,Social Network Analysis,React.js",https://glints.com/id/opportunities/jobs/front-end-developer/be719eb0-f641-4886-9e34-1bfefef6307a?utm_referrer=explore,be719eb0-f641-4886-9e34-1bfefef6307a,full_time,Kerja di kantor,1 – 3 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Front-end Developer,Kuasar,"Menteng, Jakarta Pusat, DKI Jakarta",Remote/Dari rumah,Not Written,"experience,logo,TypeScript,GIT,HTML5,JavaScript,Communication Skills,Problem Solving Skills,Attention to Detail,CSS3,Frontend Development,Collaboration Skill,React.js",https://glints.com/id/opportunities/jobs/front-end-developer/00b37b20-34bf-484c-aeec-ef328051cc7c?utm_referrer=explore,00b37b20-34bf-484c-aeec-ef328051cc7c,internship,Remote/Dari rumah,Kurang dari setahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Front End Developer,PT Juke Solusi Teknologi,"Cempaka Putih, Jakarta Pusat, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,Node Js,React Native,HTML5",https://glints.com/id/opportunities/jobs/front-end-developer/7e440086-25ff-46f7-870d-8817b39516e8?utm_referrer=explore,7e440086-25ff-46f7-870d-8817b39516e8,full_time,Kerja di kantor,3 – 5 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Front End Developer,PT. Cyber Edu Inkor,"Pasar Minggu, Jakarta Selatan, DKI Jakarta",Kerja di kantor,Not Written,"experience,logo,React.js,JavaScript,TypeScript,REST API,MySQL",https://glints.com/id/opportunities/jobs/front-end-developer/2a6c8df3-5026-4bc9-97e9-541bad5812f8?utm_referrer=explore,2a6c8df3-5026-4bc9-97e9-541bad5812f8,full_time,Kerja di kantor,5 – 10 tahun,Minimal Sarjana (S1),Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
Front-End Developer Intern,Zettabyte Pte Ltd,"Kapanewon Depok, Sleman, DI Yogyakarta",Kerja di kantor,Not Written,"logo,Software Development,Frontend Development,JavaScript",https://glints.com/id/opportunities/jobs/front-end-developer-intern/8947d535-b8d8-4959-8bfe-79488a47205f?utm_referrer=explore,8947d535-b8d8-4959-8bfe-79488a47205f,internship,Kerja di kantor,Minimal SMA/SMK,Software Development,Computer & Information Technology,Frontend Development,Frontend Engineer,2024-04-26
